E00N00,E00N03,E00N03,E00N03,E00N04,E00N04,E00N04,E00N03,E00N03,E00N02,E00N02,E00N02,E00N00,E00N00,E00N02
E00N02,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00
E00N02,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00
E00N03,E00C00,E00N00,E00N00,E00N00,E00N03,E00N03,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00
E00N03,E00N00,E00N00,E00N00,E00N04,E00N04,E00N03,E00N05,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00
E00N04,E00N00,E00N00,E00N00,E00N04,E00N04,E00N00,E00N05,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00
E00N04,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00
E00N05,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00
E00N04,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00
E00N03,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00
E00N03,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00
E00N02,E00N01,E00N01,E00N01,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00
E00N02,E00N01,E00N00,E00N01,E00N00,E00N01,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00
E00N00,E00S01,E00N01,E00N01,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00
E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00,E00N00
